"entertainment","dining","cabin","amenities","cocktail_credits","avg_rating"
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Top Deck Hot Tubs","3",8.6787442294721
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Winter Wellness Spa","1",7.9613221801201
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Winter Wellness Spa","2",8.37091078170104
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Winter Wellness Spa","3",7.87551032141736
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Fireside Live Music","1",7.93108797295863
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Fireside Live Music","2",9.08437680191186
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Fireside Live Music","3",6.40548560274679
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Top Deck Hot Tubs","1",9.25133275781035
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Top Deck Hot Tubs","2",9.33648023251531
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Top Deck Hot Tubs","3",7.899400331725
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Winter Wellness Spa","1",8.83150070314804
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Winter Wellness Spa","2",9.76130506618334
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Winter Wellness Spa","3",5.57780854561778
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Fireside Live Music","1",8.52681676117244
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Fireside Live Music","2",7.48569701572294
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Fireside Live Music","3",6.23384965274659
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Top Deck Hot Tubs","1",5.36060675488725
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Top Deck Hot Tubs","2",8.21552303107157
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Top Deck Hot Tubs","3",6.18047687545356
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Winter Wellness Spa","1",9.25194345163872
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Winter Wellness Spa","2",7.9933340149651
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Winter Wellness Spa","3",6.25955543603308
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Fireside Live Music","1",8.56292196828307
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Fireside Live Music","2",3.26416981307459
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Fireside Live Music","3",8.14549832237732
"Jazz Blues","Formal Multi-Course Plated","Cozy with Fireplace","Top Deck Hot Tubs","1",4.25227765056679
"Jazz Blues","Formal Multi-Course Plated","Cozy with Fireplace","Top Deck Hot Tubs","2",6.83362476148839
"Jazz Blues","Formal Multi-Course Plated","Cozy with Fireplace","Top Deck Hot Tubs","3",7.77685490608906
"Jazz Blues","Formal Multi-Course Plated","Cozy with Fireplace","Winter Wellness Spa","1",5.23996285004855
"Jazz Blues","Formal Multi-Course Plated","Cozy with Fireplace","Winter Wellness Spa","2",7.26663949532496
"Jazz Blues","Formal Multi-Course Plated","Cozy with Fireplace","Winter Wellness Spa","3",5.5767137029016
"Jazz Blues","Formal Multi-Course Plated","Cozy with Fireplace","Fireside Live Music","1",4.40846684628862
"Jazz Blues","Formal Multi-Course Plated","Cozy with Fireplace","Fireside Live Music","2",3.17289647039489
"Jazz Blues","Formal Multi-Course Plated","Cozy with Fireplace","Fireside Live Music","3",4.58021811156888
"Jazz Blues","Formal Multi-Course Plated","Nautical Chic","Top Deck Hot Tubs","1",7.81298012044251
"Jazz Blues","Formal Multi-Course Plated","Nautical Chic","Top Deck Hot Tubs","2",6.34403870107976
"Jazz Blues","Formal Multi-Course Plated","Nautical Chic","Top Deck Hot Tubs","3",7.45441874510787
"Jazz Blues","Formal Multi-Course Plated","Nautical Chic","Winter Wellness Spa","1",4.27586207327862
"Jazz Blues","Formal Multi-Course Plated","Nautical Chic","Winter Wellness Spa","2",8.95064307840718
"Jazz Blues","Formal Multi-Course Plated","Nautical Chic","Winter Wellness Spa","3",6.6583548290665
"Jazz Blues","Formal Multi-Course Plated","Nautical Chic","Fireside Live Music","1",6.0310980915262
"Jazz Blues","Formal Multi-Course Plated","Nautical Chic","Fireside Live Music","2",7.01686149688021
"Jazz Blues","Formal Multi-Course Plated","Nautical Chic","Fireside Live Music","3",5.25564809192922
"Jazz Blues","Formal Multi-Course Plated","Romantic Escape","Top Deck Hot Tubs","1",8.71658699990836
"Jazz Blues","Formal Multi-Course Plated","Romantic Escape","Top Deck Hot Tubs","2",6.78101998307834
"Jazz Blues","Formal Multi-Course Plated","Romantic Escape","Top Deck Hot Tubs","3",6.72010706194402
"Jazz Blues","Formal Multi-Course Plated","Romantic Escape","Winter Wellness Spa","1",5.52363846813056
"Jazz Blues","Formal Multi-Course Plated","Romantic Escape","Winter Wellness Spa","2",5.75059814886413
"Jazz Blues","Formal Multi-Course Plated","Romantic Escape","Winter Wellness Spa","3",5.47118153681838
"Jazz Blues","Formal Multi-Course Plated","Romantic Escape","Fireside Live Music","1",4.11527606992114
"Jazz Blues","Formal Multi-Course Plated","Romantic Escape","Fireside Live Music","2",8.46826172329725
"Jazz Blues","Formal Multi-Course Plated","Romantic Escape","Fireside Live Music","3",2.55560262523333
"Jazz Blues","Formal Multi-Course Plated","Modern Minimalist","Top Deck Hot Tubs","1",2.41388521771416
"Jazz Blues","Formal Multi-Course Plated","Modern Minimalist","Top Deck Hot Tubs","2",7.39084183106727
"Jazz Blues","Formal Multi-Course Plated","Modern Minimalist","Top Deck Hot Tubs","3",8.61660694759849
"Jazz Blues","Formal Multi-Course Plated","Modern Minimalist","Winter Wellness Spa","1",7.33232500740166
"Jazz Blues","Formal Multi-Course Plated","Modern Minimalist","Winter Wellness Spa","2",6.23446087621863
"Jazz Blues","Formal Multi-Course Plated","Modern Minimalist","Winter Wellness Spa","3",2.52695754046534
"Jazz Blues","Formal Multi-Course Plated","Modern Minimalist","Fireside Live Music","1",5.0325565379117
"Jazz Blues","Formal Multi-Course Plated","Modern Minimalist","Fireside Live Music","2",5.93201580386609
"Jazz Blues","Formal Multi-Course Plated","Modern Minimalist","Fireside Live Music","3",5.90291062623147
"Jazz Blues","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Top Deck Hot Tubs","1",8.61343288694186
"Jazz Blues","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Top Deck Hot Tubs","2",7.89321998730115
"Jazz Blues","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Top Deck Hot Tubs","3",6.54962072251096
"Jazz Blues","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Winter Wellness Spa","1",6.05677310281677
"Jazz Blues","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Winter Wellness Spa","2",6.13968882965508
"Jazz Blues","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Winter Wellness Spa","3",8.53192668440264
"Jazz Blues","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Fireside Live Music","1",6.7046189137618
"Jazz Blues","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Fireside Live Music","2",8.01863895193647
"Jazz Blues","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Fireside Live Music","3",5.37027503724491
"Jazz Blues","Coastal Tapas & Tasting Stations","Nautical Chic","Top Deck Hot Tubs","1",8.94917957045267
"Jazz Blues","Coastal Tapas & Tasting Stations","Nautical Chic","Top Deck Hot Tubs","2",7.50293328212536
"Jazz Blues","Coastal Tapas & Tasting Stations","Nautical Chic","Top Deck Hot Tubs","3",7.42493327705684
"Jazz Blues","Coastal Tapas & Tasting Stations","Nautical Chic","Winter Wellness Spa","1",7.06417771613655
"Jazz Blues","Coastal Tapas & Tasting Stations","Nautical Chic","Winter Wellness Spa","2",7.82195607986876
"Jazz Blues","Coastal Tapas & Tasting Stations","Nautical Chic","Winter Wellness Spa","3",5.78514520532152
"Jazz Blues","Coastal Tapas & Tasting Stations","Nautical Chic","Fireside Live Music","1",8.04597244235249
"Jazz Blues","Coastal Tapas & Tasting Stations","Nautical Chic","Fireside Live Music","2",8.14127241330366
"Jazz Blues","Coastal Tapas & Tasting Stations","Nautical Chic","Fireside Live Music","3",8.20167403686428
"Jazz Blues","Coastal Tapas & Tasting Stations","Romantic Escape","Top Deck Hot Tubs","1",7.96783528154058
"Jazz Blues","Coastal Tapas & Tasting Stations","Romantic Escape","Top Deck Hot Tubs","2",8.81011211530349
"Jazz Blues","Coastal Tapas & Tasting Stations","Romantic Escape","Top Deck Hot Tubs","3",8.82409957922102
"Jazz Blues","Coastal Tapas & Tasting Stations","Romantic Escape","Winter Wellness Spa","1",5.39740132399028
"Jazz Blues","Coastal Tapas & Tasting Stations","Romantic Escape","Winter Wellness Spa","2",8.10066940680955
"Jazz Blues","Coastal Tapas & Tasting Stations","Romantic Escape","Winter Wellness Spa","3",7.98805920625497
"Jazz Blues","Coastal Tapas & Tasting Stations","Romantic Escape","Fireside Live Music","1",9.54463746630095
"Jazz Blues","Coastal Tapas & Tasting Stations","Romantic Escape","Fireside Live Music","2",6.01070213192031
"Jazz Blues","Coastal Tapas & Tasting Stations","Romantic Escape","Fireside Live Music","3",4.95764173867718
"Jazz Blues","Coastal Tapas & Tasting Stations","Modern Minimalist","Top Deck Hot Tubs","1",9.33307601000851
"Jazz Blues","Coastal Tapas & Tasting Stations","Modern Minimalist","Top Deck Hot Tubs","2",7.03045164497017
